




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (66)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
secondary alcohol biosynthetic process (GO:1902653)	44	23	.14	+	 > 100	1.53E-42	2.39E-38
secondary alcohol metabolic process (GO:1902652)	118	27	.37	+	72.95	6.02E-42	4.70E-38
sterol biosynthetic process (GO:0016126)	49	23	.15	+	 > 100	1.11E-41	5.79E-38
sterol metabolic process (GO:0016125)	130	27	.41	+	66.22	6.22E-41	2.43E-37
cholesterol biosynthetic process (GO:0006695)	42	22	.13	+	 > 100	1.11E-40	3.47E-37
cholesterol metabolic process (GO:0008203)	112	26	.35	+	74.01	1.76E-40	4.57E-37
small molecule biosynthetic process (GO:0044283)	597	36	1.87	+	19.23	1.32E-37	2.94E-34
alcohol biosynthetic process (GO:0046165)	95	23	.30	+	77.19	4.58E-36	8.93E-33
alcohol metabolic process (GO:0006066)	285	29	.89	+	32.44	7.41E-36	1.29E-32
steroid metabolic process (GO:0008202)	255	27	.80	+	33.76	1.09E-33	1.69E-30
lipid metabolic process (GO:0006629)	1253	41	3.93	+	10.43	2.49E-33	3.54E-30
steroid biosynthetic process (GO:0006694)	130	23	.41	+	56.41	2.92E-33	3.80E-30
lipid biosynthetic process (GO:0008610)	602	33	1.89	+	17.48	7.65E-33	9.18E-30
regulation of cholesterol biosynthetic process (GO:0045540)	42	18	.13	+	 > 100	5.39E-32	6.01E-29
organic hydroxy compound metabolic process (GO:1901615)	430	29	1.35	+	21.50	5.37E-31	5.59E-28
organic hydroxy compound biosynthetic process (GO:1901617)	171	23	.54	+	42.88	9.31E-31	9.08E-28
small molecule metabolic process (GO:0044281)	1855	44	5.82	+	7.56	1.52E-30	1.39E-27
